reep_id,key_wikidata,name,country,key_transfermarkt,key_fbref,key_opta,key_opta_numeric,key_fotmob
reep_lc568b9e5,Q260858,UEFA European Championship,,,676,,,
reep_lece82fe7,Q16848281,UEFA European Championship qualifying,,,678,,,
reep_le0922a94,Q15980635,UEFA Nations League,,,677,941,,
reep_la3f0116f,Q484028,UEFA Super Cup,,USC,122,,,74
reep_l8ef03cd3,Q748389,UEFA Women's Champions League,,,181,,,9375
reep_l5cfe9158,Q459459,UEFA Women's Championship,,,162,,,
reep_l92e88a00,Q113465678,UEFA Women's Championship qualification,,,675,,,
reep_l0c5375da,Q1362411,USL Championship,,,73,807,,8972
reep_l9267a217,Q1351694,USL First Division,,,68,,,
reep_ld6e5c6a8,Q30636616,USL League One,,,137,jznihqxle06xych9ygwiwnsa,,9296
reep_la102ad0e,Q1852873,USSF Division 2 Professional League,,,79,,,
reep_l69475825,Q1561244,Ukrainian First League,,UKR2,,,,
reep_ldcfd0624,Q12169436,Ukrainian National League U-19,,UA19,,,,
reep_ld87022ae,Q4470534,Ukrainian Premier League,,,39,,,
reep_l45fc9b26,Q835989,Under 17 Bundesliga,,,851,,,
reep_l912ac5ae,Q315673,Under 19 Bundesliga,,,850,,,
reep_l7eddf211,Q287453,Uruguayan Primera División,,,45,,,
reep_l9201a361,Q220875,Veikkausliiga,,,43,dvstmwnvw0mt5p38twn9yttyb,,51
reep_la3acaa1d,Q1033339,Venezuelan Primera División,,,105,46b141eaqq9q7o4gz5gtdpikk,,
reep_l206b8ec9,Q1785497,Vrouwen Eredivisie,,,195,,,10289
reep_l40dca131,Q96142578,WE League,,,893,,,9500
reep_l7111f259,Q130302344,WPSL Pro,,,,,,
reep_lb053b7e2,Q1386684,Women's FA Cup,,,,10082,,
reep_lde491297,Q3063027,Women's League Cup,,,,9717,,9717
reep_l4a40fe71,Q1351438,Women's Professional Soccer,,,878,,,
reep_lc08e0617,Q950844,Women's Super League,,,189,9227,,9227
reep_le45e1261,Q20807484,Women's Super League 2,,,,9294,,9294
reep_leb138cb3,Q1774339,Women's United Soccer Association,,,877,,,
reep_l7b2293ee,Q2563597,World Football Challenge,,,,555,,
reep_la257096d,Q105492335,football at the Summer Olympics – women's tournament,,,180,,,
reep_l39bf7bef,Q493386,friendly match,,,,34,,114
reep_l90a58480,Q687207,ÖFB-Frauenliga,,,286,,,
