reep_id,key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_kicker,key_flashscore,key_sofascore,key_soccerbase,key_uefa,key_footballdatabase_eu,key_worldfootball,key_espn,key_playmakerstats,key_clubelo,key_sportmonks,key_api_football,key_sofifa,key_fotmob,key_thesportsdb,key_understat,key_opta_numeric
reep_t07bd386a,Q16841361,Inverness Celtic F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_tdcf3196e,Q6060221,Inverness Citadel F.C.,United Kingdom,1883-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfb078745,Q6060226,Inverness City F.C.,United Kingdom,2006-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tef6a9e7d,Q135100270,Inverness Thistle F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t0c222fd9,Q3153884,Inverness Thistle F.C.,United Kingdom,1885-01-01,Kingsmills Park,,,,,,,,,,,,,,,,,,,,,
reep_t5bb565cb,Q16841374,Inverness Union F.C.,United Kingdom,1883-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t654244db,Q9156635,Inverurie Loco Works F.C.,United Kingdom,1902-01-01,Harlaw Park,,,,,,,,,,,,,,,,,,,142350,,
reep_tdbd592d3,Q2927344,Invincible Eleven,Liberia,1943-01-01,Antoinette Tubman Stadium,21441,,10458,,,,,,,,,,11829,,,,,,,,
reep_t76c1ef12,Q63564978,Ionia 2000 F.C.,Greece,1924-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t9370d766,Q987939,Ionikos Nikaia F.C.,Greece,1965-06-29,Neapoli Municipal Stadium,553,,,,,,,,64172,1481,,,,,,,,,,,
reep_t6b5f947d,Q104879032,Iowa Raptors FC,United States,,,,,,,,,,,,,,,,,,,,,,,
reep_t537c3596,Q3154188,Ipanema Atlético Clube,Brazil,1923-01-01,Q9255269,,,,,,,,,,,,,,,,,,,,,
reep_t658f9124,Q98921,Ipatinga Futebol Clube,Brazil,1998-01-01,Arena do Jacaré,3270,,37250,,,,,,,1868,,,3297,,,,,,,,
reep_t4e226f6a,Q25449186,Ipiranga Atlético Clube,Brazil,1952-11-15,,,,,,,,,,,,,,,,,,,,,,
reep_t1f33a35f,Q10303505,Iporá Esporte Clube,Brazil,2000-01-01,Q10276956,57652,,18528,,,,,,,,,,36313,,,,,,,,
reep_td62f1f38,Q6065513,Ipswich Australian Football Club,Australia,2001-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tf4794d6d,Q6065549,Ipswich City FC,Australia,1975-02-16,,,,,,,,,,,,,,,,,,,,,,
reep_t8a507aca,Q6065595,Ipswich Knights Soccer Club,Australia,1998-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t1cdfb4a1,Q9653,Ipswich Town F.C.,United Kingdom,1878-01-01,Portman Road,677,b74092de,,8b523ujgl21tbc01me65q0aoh,,,,,62301,143,ipswich-town,,2586,,,,,,133622,,
reep_t96285a2d,Q60763840,Ipswich Town F.C. U23s and Academy,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t668c085e,Q85769938,Ipswich Town F.C. Women,United Kingdom,,Colchester Community Stadium,,,,,,,,,,,,,,,,,,,,,
