reep_id,key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_kicker,key_flashscore,key_sofascore,key_soccerbase,key_uefa,key_footballdatabase_eu,key_worldfootball,key_espn,key_playmakerstats,key_clubelo,key_sportmonks,key_api_football,key_sofifa,key_fotmob,key_thesportsdb,key_understat,key_opta_numeric
reep_te8766ef1,Q113151727,(cuadro chico),,,,,,,,,,,,,,,,,,,,,,,,
reep_tf049dc2d,Q161217,07 Vestur,Faroe Islands,2007-11-06,,27811,,10597,,,,,,,,,,,,,,,,,,
reep_t688bf999,Q121408767,1 Ladakh FC,,,,,,,,,,,,,,,,,,,,,,,,
reep_t312507b6,Q161774,1. Bockenheimer FC 1899,Germany,1899-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta59b1124,Q162007,1. CfR Pforzheim,Germany,2010-01-01,Stadion im Brötzinger Tal,,,,,,,,,,,,,,,,,,,,,
reep_t4e3f8d77,Q162006,1. DFC Leoben,Austria,1976-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta6959b4f,Q162195,1. FC 08 Birkenfeld,Germany,1908-07-01,,,,,,,,,,,,,,,,,,,,,,
reep_t5f153773,Q162200,1. FC Aschersleben,Germany,1993-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3bc12af3,Q162205,1. FC Bad Kötzting,Germany,1921-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta8ee7bf0,Q162196,1. FC Bamberg,Germany,1901-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_taf5d9b26,Q162204,1. FC Bayreuth,Germany,1910-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t9f45dc82,Q162213,1. FC Bocholt,Germany,1900-01-01,Q2326114,,,1-fc-bocholt,,,,,,,,,,,,,,,,,,
reep_tfc5ee0c2,Q1995657,1. FC Breslau,Nazi Germany,1934-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t57f4ee71,Q162207,1. FC Burg,Germany,1957-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfb783194,Q54801990,1. FC Düren,Germany,2017-11-30,,67453,,,,,,,,,,,,,,,,,,,,
reep_t1b084fe9,Q162220,1. FC Eschborn,Germany,1930-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t4e38f703,Q286577,1. FC Frankfurt,Germany,2012-01-01,Stadion der Freundschaft,706,,,,,,,,,,1-fc-frankfurt-oder,,,,,,,,,,
reep_tf94745a6,Q162230,1. FC Gera 03,Germany,2003-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t54a9de4b,Q162227,1. FC Germania 08 Ober-Roden,Germany,1908-04-10,,,,,,,,,,,,,,,,,,,,,,
reep_t410ad4ba,Q162231,1. FC Gievenbeck,Germany,1949-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t631d3a2d,Q162241,1. FC Haßfurt,Germany,1917-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta0479e73,Q162251,1. FC Heidenheim 1846,Germany,2007-01-01,Voith-Arena,2036,18d9d2a7,,,,,,,2603791,6696,,,13705,,,,,94937,,,
reep_t6f0d4b08,Q162242,1. FC Hersbruck,Germany,1906-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t58442556,Q24286823,1. FC Kaan-Marienborn,Germany,,Herkules Arena,,,32207,,,,,,,,,,,,,,,,,,
reep_t20fb1e6c,Q8466,1. FC Kaiserslautern,Germany,1900-01-01,Fritz Walter Stadium,2,,,,,,,,3695,68,,,,,,,,,,,
reep_t2f38c177,Q112712530,1. FC Katowice,,2007-04-13,,,,,,,,,,,,,,,,,,,,,,
reep_tfb1d338c,Q162261,1. FC Katowice (women),Poland,2007-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfdf0a433,Q162258,1. FC Kattowitz,Poland,1905-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t75253187,Q162264,1. FC Kirchheim,Germany,1919-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tf97269b5,Q162270,1. FC Kleve,Germany,2000-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_te674ca51,Q162273,1. FC Košice,Slovakia,1952-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_td85c256f,Q104770,1. FC Köln,Germany,1948-02-13,RheinEnergie Stadion,3,,980,,,1-fc-koln/WG9pOTse,,,50018,69,1-fc-koeln,,1124,,,,,8722,,,
reep_t0c7802c5,Q15972883,1. FC Köln II,Germany,1948-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3c0ac5d1,Q113483206,1. FC Köln II (women),,,Südstadion,,,,,,,,,,,,,,,,,,,,,
reep_t05e7dc7e,Q2360647,1. FC Köppelsdorf 1910,Germany,,,,,,,,,,,,,,,,,,,,,,,
reep_t7e013b73,Q162294,1. FC Lichtenfels,Germany,1906-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tc041e26c,Q162299,1. FC Lok Stendal,Germany,1945-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t52c8bb89,Q162317,1. FC Lokomotive Leipzig,,1893-11-11,Bruno-Plache-Stadion,497,,,,,,,,,,,,,,,,,,,,
reep_te604cb5a,Q162309,1. FC Lübars,Germany,1962-01-01,,2204,,,,,,,,,,,,,,,,,,,,
reep_t23254a27,Q155730,1. FC Magdeburg,Germany,1965-12-22,Avnet Arena,187,e18a73da,2818,,,,,,52761,,1-fc-magdeburg,,7819,,,,,,,,
reep_t253369a0,Q162329,1. FC Mülheim,Germany,1923-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t350528df,Q162342,1. FC Neubrandenburg 04,Germany,2004-01-01,,,dfc25351,,,,,,,,,,,,,,,,,,,
reep_tf119f4d1,Q162346,1. FC Neukölln,Germany,1895-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t05c56c0c,Q162349,1. FC Normannia Gmünd,Germany,1904-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t5bdbd2a8,Q15786,1. FC Nürnberg,Germany,1900-05-04,Max-Morlock-Stadion,4,,975,,,,,,50108,90,1-fc-nuernberg,,,,,,,,,,
reep_tb94496cf,Q162350,1. FC Nürnberg (women),Germany,1988-08-24,Sportpark Valznerweiher,,,,,,,,,,,,,,,,,,,,,
reep_t9bb81ae2,Q162364,1. FC Pforzheim,Germany,1896-01-01,Stadion im Brötzinger Tal,,,,,,,,,,,,,,,,,,,,,
reep_t2c350a91,Q162366,1. FC Phönix Lübeck,Germany,1903-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t788333c1,Q64025157,1. FC Polešovice,Czech Republic,1931-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t42e6c42d,Q162368,1. FC Pressig,Germany,1921-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tdc0bdc7c,Q162370,1. FC Recklinghausen,Germany,1981-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta5e8934a,Q157463,1. FC Saarbrücken,Germany,1903-04-18,Ludwigsparkstadion,1,eb4b278c,993,,,,,,,877,,,,,,,,,,,
reep_tda2f9f1b,Q25238309,1. FC Saarbrücken II,,1903-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t42436f5b,Q162384,1. FC Sand,Germany,1920-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3d288995,Q162386,1. FC Schwalmstadt,Germany,2003-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t19013747,Q18009032,1. FC Schwandorf,Germany,1913-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t644c6ee9,Q847499,1. FC Slovácko,Czech Republic,2000-04-26,Městský fotbalový stadion Miroslava Valenty,5544,,2986,,,,,,75794,1476,1-fc-slovacko,,2062,,,,,,,,
reep_t326cb25f,Q162396,1. FC Sonthofen,Germany,1919-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfa90814d,Q31272787,1. FC Tallinn,Estonia,1990-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t09276af6,Q162408,1. FC Tatran Prešov,Slovakia,1898-05-25,Štadión 1. FC Tatran Prešov,4531,,1985,,,,,2597,2609511,,tatran-presov,,9450,,,,,,,,
reep_t0812b976,Q162397,1. FC Trogen,Germany,1932-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t63b1713b,Q141971,1. FC Union Berlin,Germany,1966-01-20,Stadion An der Alten Försterei,89,7a41008f,1026,,,,,3393,77977,888,,,4852,,,,,8149,,,
reep_tbe4867bf,Q16525415,1. FC Union Berlin II,Germany,1980-01-01,Friedrich-Ludwig-Jahn-Sportpark,,,,,,,,,,,,,,,,,,,,,
reep_t5fc7a1ac,Q162415,1. FC Union Solingen,Germany,1990-01-01,Stadion am Hermann-Löns-Weg,848,,,,,,,,,6749,,,,,,,,,,,
reep_t4d3a6117,Q4545852,1. FC Viktoria 07 Kelsterbach,Germany,1907-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta4eca638,Q162420,1. FC Vöcklabruck,Austria,1999-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_taac9253d,Q162423,1. FC Wilmersdorf,Germany,1989-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t9a7d3009,Q162428,1. FC Wülfrath,Germany,1927-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta6f3d54b,Q162433,1. FC Zeitz,Germany,1910-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t06b817d8,Q162186,1. FCA Darmstadt,Germany,1904-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t686c9e01,Q162436,1. FFC 08 Niederkirchen,Germany,2008-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tec54daf0,Q162449,1. FFC Frankfurt,Germany,1998-08-27,Stadion am Brentanobad,,,,,,,,,,,,,,,,,,,,,
reep_t019b0288,Q162437,1. FFC Montabaur,Germany,2005-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t15299624,Q162439,1. FFC Recklinghausen,Germany,2003-01-01,Q2326073,,,,,,,,,,,,,,,,,,,,,
reep_t94ef242b,Q162450,1. FFC Turbine Potsdam,Germany,1999-04-01,Karl-Liebknecht-Stadion,,,4420,,,,,,,,turbine-potsdam-frauen,,,,,,,,,,
reep_t79ce66ec,Q162453,1. FFV Erfurt,Germany,1997-06-25,,,,,,,,,,,,,,,,,,,,,,
reep_t7788dc5a,Q316499,1. FSV Köln 1899,Germany,1899-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tac5723c0,Q105254,1. FSV Mainz 05,Germany,1905-03-16,Mewa Arena,39,,977,,,,,3050,70853,,1-fsv-mainz-05,,4163,,,,,9905,,,
reep_t7019cc8f,Q320161,1. Göppinger SV,Germany,1895-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_td4221445,Q162589,1. HFK Olomouc,Czech Republic,1932-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_te4f5e0a6,Q162625,1. Halleiner SK,Austria,,,,,,,,,,,,,,,,,,,,,,,
reep_t9988201f,Q138128065,1. MFK Kežmarok,,,,,,,,,,,,,,,,,,,,,,,,
reep_t19218c7f,Q163279,1. Münchner FC 1896,Germany,1896-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3c92208e,Q320528,1. Rödelheimer FC 02,Germany,1902-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t27988ce7,Q106075951,1. SC 1900 Zerbst,Germany,1900-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t232ae9c9,Q163430,1. SC Znojmo,Czech Republic,1952-01-01,Městský stadion,13716,,571,,,,,,,10089,,,,,,,,,,,
reep_t32f67db4,Q1956025,1. SK Prostějov,Czech Republic,1904-01-01,Q20755540,,,,,,,,,,,,,,,,,,,,,
reep_t8d941496,Q107590732,1. SV Henstedt-Ulzburg (women),Germany,,Sportanlage am Schäferkampsweg,,,,,,,,,,,,,,,,,,,,,
reep_t52b903be,Q163441,1. Salzburger Sportklub 1919,Austria,,,,,,,,,,,,,,,,,,,,,,,
reep_tf79ffe2f,Q163467,1. Simmeringer SC,Austria,1901-01-01,Simmeringer Had,,,,,,,,,,,,,,,,,,,,,
reep_t00cda4ee,Q163694,1. Wiener Neustädter SC,Austria,1908-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t9a856c64,Q13423024,1.FK Nová Paka,Czech Republic,1911-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3d8f4b80,Q62018651,1.FSV Mainz 05 under 19,Germany,,,,ce4c058d,,,,,,,,,,,,,,,,,,,
reep_t4e461089,Q4546611,105th Regiment F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_tbf465e9b,Q117289992,10th Dumbartonshire Rifle Volunteers F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t957d0c1a,Q6056366,1207 Antalya Women Football,Turkey,,,,,,,,,,,,,,,,,,,,,,,
reep_t28b5c1a1,Q189847,1461 Trabzon,Turkey,2008-01-01,Hüseyin Avni Aker Stadium,,,,,,,,,,,,,,,,,,,138962,,
reep_t52a612ee,Q123914066,1472 F.C.,Nigeria,,,,,,,,,,,,,,,,,,,,,,,
reep_t60d1b386,Q136718395,15 de Agosto Femenino,,,,,,,,,,,,,,,,,,,,,,,,
reep_t1630d78a,Q4550905,15 de Septiembre de Trujillo,Peru,,Estadio Mansiche,,,,,,,,,,,,,,,,,,,,,
reep_t1ada1730,Q118497210,17th Renfrewshire Rifle Volunteers F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t397e25bb,Q105702048,1812 FC Barrie,Canada,,,,,,,,,,,,,,,,,,,,,,,
reep_tf062a4ed,Q15846575,1874 Northwich F.C.,United Kingdom,2012-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_taf9f323c,Q108207939,18th Newtownabbey Old Boys F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_te70e69d2,Q6084255,1930 Bafraspor,Turkey,1999-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t4e846a6b,Q10556336,1964–65 Leeds United A.F.C. season,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t83f505e8,Q120023836,19th Lanarkshire Rifle Volunteers F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_tc6fe6b0f,Q122333162,1st Argyll Rifle Volunteers F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_tf507a3cb,Q9196931,1st Bangor Old Boys F.C.,United Kingdom,1967-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t340f42c7,Q135466891,1st Highland Light Infantry F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_tab226514,Q117190858,1st Lanarkshire Rifle Volunteers A.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_tffd33492,Q118497178,1st Renfrewshire Rifle Volunteers F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t2c229ba6,Q4596599,1st Scots Guards F.C.,United Kingdom,1891-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta482d6ac,Q19576741,1st Surrey Rifles F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t8b115162,Q2795205,1º de Maio,São Tomé and Príncipe,1982-05-01,Q86738090,,,,,,,,,,,,,,,,,,,,,
reep_t7bb32863,Q2813760,1º de Maio Esporte Clube,Brazil,1985-01-01,Q9255517,,,,,,,,,,,,,,,,,,,,,
reep_t03c290a2,Q25059304,1º de Maio de Quelimane,Mozambique,,Estádio 1º de Maio,,,,,,,,,,,,,,,,,,,,,
reep_t352b6400,Q4621497,2011 Indonesia Super League All-Star team,Indonesia,,,,,,,,,,,,,,,,,,,,,,,
reep_tda1faff5,Q123302736,2011–12 FF USV Jena season,Germany,,,,,,,,,,,,,,,,,,,,,,,
reep_t01e8577a,Q4624199,2011–12 Senglea Athletic F.C. season,,,,,,,,,,,,,,,,,,,,,,,,
reep_tb430b112,Q118949305,2012–13 FF USV Jena season,Germany,,,,,,,,,,,,,,,,,,,,,,,
reep_t5f74c6b9,Q19605774,2014–15 SV Grödig season,Austria,1948-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3ca5e69a,Q100804172,2020–21 Ternana Calcio season,Italy,,Stadio Libero Liberati,,,,,,,,,,,,,,,,,,,,,
reep_tb54cad15,Q98398777,2020–21 Unione Sportiva Catanzaro season,Italy,,Stadio Nicola Ceravolo,,,,,,,,,,,,,,,,,,,,,
reep_tad0860ca,Q108907460,2021–22 Real Kashmir FC season,,,,,,,,,,,,,,,,,,,,,,,,
reep_ta66342cd,Q134693271,2024–25 FC Volendam season,,,,,,,,,,,,,,,,,,,,,,,,
reep_tf3ee2e83,Q130478607,2024–25 Kuala Lumpur City F.C. season,,,,,,,,,,,,,,,,,,,,,,,,
reep_te4e1381e,Q137049446,2025–26 Mohun Bagan SG Youth and Academy,,,,,,,,,,,,,,,,,,,,,,,,
reep_t40f60b03,Q123001598,21st Royal Scots Fusiliers F.C.,United Kingdom,1891-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t8b1cfa0b,Q131456520,22 de Julio Fútbol Club,Ecuador,,,,,,,,,,,,,,,,,,,,,,,
reep_t131a46fa,Q136463724,22nd Old Boys F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t9ddfdc35,Q16000994,22under22,Australia,2013-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t8a6540ee,Q4631684,23rd Renfrewshire Rifle Volunteers,United Kingdom,1873-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t2065dd61,Q113650998,2DROTS,Russia,,,101576,,,,,,,,,,,,,,,,,,146863,,
reep_tb5406c64,Q4633699,2nd Grenadier Guards F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t4b79b1b6,Q123144079,2nd Highland Light Infantry F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_td55628be,Q134531672,2nd Scots Guards F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t9c16a161,Q644165,33 FC,Hungary,1900-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta028a4d6,Q135212097,345 FC,,,,,,,,,,,,,,,,,,,,,,,,
reep_t0c191eaf,Q117210130,3rd Edinburgh Rifle Volunteers F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_te0175a2d,Q4636781,3rd Grenadier Guards F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t5658970b,Q2816968,4 de Julho Esporte Clube,Brazil,1987-07-04,Q10277221,36257,,3707,,,,,,,,,,3082,,,,,,,,
reep_t0b7a08bc,Q4637309,402 FC,United States,2008-01-01,Morrison Stadium,,,,,,,,,,,,,,,,,,,,,
reep_t96bf1425,Q137168159,4th Newtownabbey F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_td452754b,Q117289886,4th Renfrewshire Rifle Volunteers F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t060bca4a,Q113349346,52 Orduspor FK,Turkey,,,,,,,,,,,,,,,,,,,,,,,
reep_t15ae4763,Q115959753,5th King's Own Scottish Borderers F.C.,United Kingdom,1908-01-01,Palmerston Park,,,,,,,,,,,,,,,,,,,,,
reep_t00f4a20c,Q4641342,5th Kirkcudbrightshire Rifle Volunteers F.C.,United Kingdom,1879-01-01,Palmerston Park,,,,,,,,,,,,,,,,,,,,,
reep_t7ebeee24,Q2619433,6 de Setembro,São Tomé and Príncipe,,Estádio Nacional 12 de Julho,,,,,,,,,,,,,,,,,,,,,
reep_tae14b9de,Q65219693,68 Aksarayspor,Turkey,2009-01-01,Dağılgan Stadium,54636,,,,,,,,,,,,,,,,,,,,
reep_tadb09550,Q18176342,68 Yeni Aksarayspor,Turkey,2010-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t8c598fee,Q115814616,6th Galloway Rifle Volunteers F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_t5756957a,Q28082387,7 Noiembrie Craiova,,,,,,,,,,,,,,,,,,,,,,,,
reep_tcff6fcf2,Q28859999,757 Kepri Jaya FC,Indonesia,2017-01-01,Gelora Citramas Stadium,,,,,,,,,,,,,,,,,,,,,
reep_t083c1ca8,Q65050062,758 Boyz SC,,,,,,,,,,,,,,,,,,,,,,,,
reep_te931e3f2,Q4646458,9 de Julio de Morteros,Argentina,1945-02-25,,,,,,,,,,,,,,,,,,,,,,
reep_t19cf637b,Q2979812,9 de Julio de Rafaela,Argentina,1904-01-01,,12487,,,,,,,,,10592,,,,,,,,,150156,,
reep_t23a275da,Q3625508,9 de Julio de Río Tercero,Argentina,1927-08-11,,,,,,,,,,,,,,,,,,,,,,
reep_t1bf3767f,Q21003836,93rd Highland Regiment F.C.,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
reep_t4f09e292,Q2868230,A Beneditense CD,Portugal,,Q10345491,8186,,2909,,,,,,,,,,3561,,,,,,,,
reep_teecc0c40,Q2842632,A Bou Saâda,Algeria,1940-01-01,Q16658245,,,,,,,,,,17238,,,,,,,,,,,
reep_te0a89a71,Q113097083,A&N Onisiforou / AEN Sinikismou Kolossiou,Cyprus,http://www.wikidata.org/.well-known/genid/8de40ecf20de4a59603c4552e8c2839e,Kolossi Community Stadium,,,,,,,,,,,,,,,,,,,,,
reep_t9bfdc43f,Q130417188,A'Ali SC,,,,106010,,60465,,,,,,,,aali-fc,,314232,,,,,,,,
reep_t28d7db0b,Q112078052,A'ali Al-Furat SC,Iraq,2019-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t964feaf0,Q4647020,A.A. Avanca,Portugal,1937-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t47e738b0,Q123916468,A.A. DC United,Ghana,,,,,,,,,,,,,,,,,,,,,,,
reep_tc15128ea,Q109499994,A.A. Lapalisse,France,1920-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tb3b666fd,Q4647017,A.A.C. Eagles,United States,1940-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t03265928,Q270051,A.C. Ajaccio,France,1910-01-01,Stade Michel Moretti,1147,7a54bb4f,900,,,,,3342,79942,41,ac-ajaccio,,113,,,,,,,,
reep_t378d2f16,Q20706646,A.C. Ancona,Italy,1905-01-01,Stadio del Conero,,,,,,,,,,,,,,,,,,,,,
reep_t9464de13,Q4647047,A.C. Arrentela,Portugal,1926-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t30b381e7,Q3542721,A.C. Barnechea City,Chile,1929-12-23,Estadio Municipal de La Pintana,,,,,,,,,,,,,,,,,,,,,
reep_tfc304eae,Q748649,A.C. Bastia 1924,Italy,1924-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t00df10cc,Q2176062,A.C. Bellaria Igea Marina,Italy,1912-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfbbb5fa1,Q3625751,A.C. Belluno 1905,Italy,1905-01-01,,8287,,12125,,,,,,,,,,,,,,,,,,
reep_t9c46e60a,Q3468789,A.C. Bra,Italy,1913-01-01,,38322,,,,,,,,,,,,,,,,,,,,
reep_t61913989,Q4647049,A.C. Calenzano,Italy,1966-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t2b612b3d,Q3625800,A.C. Cantù G.S. San Paolo,Italy,2000-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t7e7b13ee,Q18086159,A.C. Castellana Calcio,Italy,1973-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tabdf4fb7,Q4647051,A.C. Castellettese,Italy,1943-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t06f8207b,Q5068838,A.C. Chalkis,Greece,1967-07-22,Municipal Stadium of Chalkida,,,,,,,,,,,,,,,,,,,,,
reep_t620d8cb1,Q108639773,A.C. Chapelain,France,1936-12-30,,,,,,,,,,,,,,,,,,,,,,
reep_t26e57cb3,Q3625870,A.C. Crema 1908,Italy,1908-01-01,Stadio Giuseppe Voltini,22188,,,,,,,,,,,,,,,,,,,,
reep_t73b3697f,Q609554,A.C. Cuneo 1905 Olmo,Italy,1905-01-01,Stadio Fratelli Paschiero,4150,,,,,,,,,,,,,,,,,,,,
reep_t98706731,Q136645943,A.C. Delco F.C.,,,,,,,,,,,,,,,,,,,,,,,,
reep_td6a36fe0,Q3391323,A.C. Este,Italy,1920-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t05698368,Q122737435,A.C. Falesia,Greece,1972-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta829a9c1,Q289186,A.C. Fanfulla 1874,Italy,1874-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t480e1468,Q4482909,A.C. Feralpi Lonato,Italy,1980-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfe9b46f0,Q3625894,A.C. Fidenza 1922,Italy,1922-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t4a5c507e,Q4647057,A.C. Formigine A.S.D.,Italy,1968-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t87bb66e5,Q2869052,A.C. Gantois,Belgium,,,,,,,,,,,,,,,,,,,,,,,
reep_tb030a3fc,Q3105024,A.C. Giacomense,Italy,1967-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t796b19df,Q109507627,A.C. Gond-Pontouvre,France,1930-09-22,,,,,,,,,,,,,,,,,,,,,,
reep_ta487c8e9,Q3468767,A.C. Gozzano,Italy,1920-04-01,Stadio Alfredo d'Albertas,13484,,,,,,,,,,,,,,,,,,,,
reep_tb263891a,Q4647058,A.C. Horatiana Venosa A.S.D.,Italy,1989-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tc91a396b,Q2868211,A.C. Isola Liri,Italy,1925-01-01,Conte Arduino Mangoni,,,,,,,,,,,,,,,,,,,,,
reep_tc12600fb,Q3626033,A.C. Jesolo,Italy,1929-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t6c4738f0,Q430931,A.C. Juvenes/Dogana,Italy,2000-01-01,San Marino Stadium,10607,633ae161,3290,,ac-juvenes-dogana,,,,76593,,ac-juvenes-dogana,,2102,,,,,,,,
reep_tbb32fd90,Q289289,A.C. Legnano,Italy,1913-01-01,Stadio Giovanni Mari,,,,,,,,,,,,,,,,,,,,,
reep_t3504bbb1,Q289343,A.C. Libertas,San Marino,1928-01-01,Campo sportivo di Borgo Maggiore,10616,1286546c,,,,ac-libertas/EizmiPoN,,4805,64509,4633,ac-libertas,17501,2105,,,,,,,,
reep_t78ab18ea,Q3626521,A.C. Locri 1909,Italy,1909-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta62b68ad,Q289339,A.C. Lumezzane,Italy,1946-01-01,Nuovo Stadio Comunale,,,,,,,,,,,,,,,,,,,,,
reep_t6918c466,Q3660082,A.C. M.M. Sarego A.S.D.,Italy,1969-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t8627b160,Q16844632,A.C. Marano A.S.D.,Italy,1951-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t890c9e85,Q289367,A.C. Marinhense,Portugal,1923-01-01,Estádio Municipal da Marinha Grande,,,,,,,,,,,,,,,,,,,,,
reep_t5cafdc36,Q3626071,A.C. Meda 1913,Italy,1913-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t02044414,Q4647061,A.C. Merate,Italy,1928-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t1ed66887,Q2254067,A.C. Mezzocorona,Italy,1951-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t60d0cf02,Q3857792,A.C. Milan,Italy,2002-01-01,,,,,,,,,,,,,,57568,,,,47,,,,
reep_tcd75a302,Q55602896,A.C. Milan,Italy,1899-12-16,,,54da9a57,,,,,,,,,,,,,,,,,,,
reep_tecf3fd4c,Q3299830,A.C. Milan Primavera,Italy,1962-01-01,,,,,,,,,,,,,,,,,,,,,,
