reep_id,key_wikidata,name,competition_reep_id
reep_s4b3e952a,Q2629481,1933 Uruguayan Primera División,
reep_s5de15cbd,Q761564,1933–34 Allsvenskan,
reep_s2a69a577,Q337934,1933–34 French Division 1,
reep_se512acd9,Q1231111,1933–34 French Division 2,
reep_sf16f92f9,Q757309,1933–34 La Liga,
reep_s801c7015,Q3566707,1933–34 Panhellenic Championship,
reep_s20a0d9d3,Q3921477,1933–34 Prima Divisione,
reep_s30649eb7,Q540570,1933–34 Serie A,
reep_s7bb2d42e,Q1629849,1933–34 Serie B,
reep_s48d8d1f1,Q783214,1934 Uruguayan Primera División,
reep_sa49598ed,Q1061455,1934–35 Allsvenskan,
reep_sc36b8f49,Q616604,1934–35 French Division 1,
reep_sc1fcc96e,Q1231121,1934–35 French Division 2,
reep_s8c1b2bd5,Q835007,1934–35 La Liga,
reep_s2b1e3f91,Q12655784,1934–35 Panhellenic Championship,
reep_s67b7b92b,Q3921490,1934–35 Prima Divisione,
reep_s11c56d55,Q254550,1934–35 Serie A,
reep_s90de9c87,Q1636348,1934–35 Serie B,
reep_s795580c7,Q2629297,1935 Uruguayan Primera División,
reep_s01d4bb52,Q630639,1935–36 Allsvenskan,
reep_s247f7188,Q1230781,1935–36 French Division 1,
reep_sc7d3ec93,Q1231124,1935–36 French Division 2,
reep_seeec35d8,Q740192,1935–36 La Liga,
reep_sb2652cfe,Q3566752,1935–36 Panhellenic Championship,
reep_sdba4c928,Q900512,1935–36 Serie A,
reep_s99584943,Q1241634,1935–36 Serie B,
reep_s160bdff6,Q3957733,1935–36 Serie C,
reep_s796b75cc,Q2629486,1936 Uruguayan Primera División,
reep_s8ac10caf,Q952757,1936–37 Allsvenskan,
reep_s00833b23,Q1230784,1936–37 French Division 1,
reep_sccce83aa,Q1231125,1936–37 French Division 2,
reep_sd3a63abd,Q124219883,1936–37 La Liga,
reep_s203a48b0,Q3566740,1936–37 Panhellenic Championship,
reep_sd4a9e183,Q911097,1936–37 Serie A,
reep_sdea9d1ac,Q1636358,1936–37 Serie B,
reep_s60c66dc9,Q3957735,1936–37 Serie C,
reep_s7e819be6,Q669336,1937 Uruguayan Primera División,
reep_s67f90af3,Q1061733,1937–38 Allsvenskan,
reep_sbbf4ca03,Q1230782,1937–38 French Division 1,
reep_s48b08835,Q1231126,1937–38 French Division 2,
reep_s030798bf,Q3566758,1937–38 Panhellenic Championship,
reep_sfc288296,Q844759,1937–38 Serie A,
reep_s07cdaefe,Q1636662,1937–38 Serie B,
reep_s4f6d6440,Q3957736,1937–38 Serie C,
reep_s24a08e96,Q964072,1938 Uruguayan Primera División,
reep_s766c9fb7,Q1061701,1938–39 Allsvenskan,
reep_sbe2e1552,Q1230791,1938–39 French Division 1,
reep_s477d9e14,Q1231131,1938–39 French Division 2,
reep_sb65eedcc,Q3566722,1938–39 Panhellenic Championship,
